user,is_red_team,isolation_forest,oneclass_svm,autoencoder
user1,0,0.43414427711710335,-0.10193975271995265,0.13166194749551885
user2,0,0.45461214207599093,-0.02427049570400558,0.30299813123852215
user3,0,0.4868315866153756,-0.00039485976067116235,0.09220485813829456
user4,0,0.47319006024680815,0.0002776904325951235,0.4629881469713509
user5,0,0.5245568563878537,-1.9651501143858052e-05,0.36277062036999713
user6,0,0.49863737128743807,-9.0397611536841e-05,0.8258881874010111
user7,1,0.47511379873242354,-4.543794989103622e-05,0.14652410100940244
user8,0,0.49835832889514536,-0.00048129104543476187,0.10813969041603197
user9,0,0.48405024150387793,0.0003795819021596425,0.559387809540592
user10,0,0.46488593306641973,-8.300841203068288e-05,0.5761638712727974
user11,0,0.4065328322903428,-0.13070383531366336,0.14130200238243876
user12,0,0.5286605250913043,0.00017300718802526482,0.41000628825871177
user13,1,0.5554594316194982,-9.659547966511806e-05,1.3936478471336016
user14,0,0.43514281751895306,-0.05156058035252559,0.25625309462208407
user15,0,0.498026423921356,-0.00022692738998969508,0.8968986055618579
user16,0,0.49438050518518184,0.00010902345744273623,0.33913911398817775
user17,0,0.46058846856449365,-8.301047472691891e-05,0.03491487560969045
user18,0,0.5302773991410259,0.00018373963513096392,0.1720046076715303
user19,0,0.4632241608046312,-0.025094171513814545,0.16309957033084166
user20,1,0.558214755057789,0.00039813147827788553,0.03548840358395428
