user,degree_centrality,betweenness_centrality
user5,0.6756756756756757,0.03074884127706812
user13,0.6756756756756757,0.03082817015358269
user3,0.7162162162162162,0.03502850855264546
user11,0.6621621621621622,0.02985492237768358
user17,0.6351351351351352,0.02689070808977924
user14,0.6486486486486487,0.02803452626077616
user12,0.5810810810810811,0.022414323298391044
user8,0.6351351351351352,0.027487524249426687
user10,0.6351351351351352,0.026813608502169357
user18,0.6891891891891893,0.03220075797292291
user20,0.7162162162162162,0.035413547208946725
user6,0.6216216216216217,0.02546114127896738
user15,0.6891891891891893,0.03210851907447076
user19,0.6756756756756757,0.031155557391003084
user7,0.6891891891891893,0.03241546273595362
user9,0.6486486486486487,0.028102322941304207
user1,0.6756756756756757,0.031143799144043142
user2,0.6486486486486487,0.027807952372951045
user16,0.6891891891891893,0.03213744254212283
user4,0.6486486486486487,0.027806492676495417
